암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,개설일자,좌표(X),좌표(Y)
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,공단약국,81,약국,340000,충남,340201,천안서북구,직산읍,31038,"충청남도 천안시 서북구 직산읍 상덕로 59, (직산읍)",041-583-3291,2016-09-01 00:00:00,127.11953,36.8725668
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ2MiQyNjEyMjIjNTEjJDEjJDIjJDgz,광혜당약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31149,"충청남도 천안시 서북구 봉명로 35, (쌍용동)",041-571-5583,1998-09-15 00:00:00,127.1324603,36.8077028
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ4OSQyNjE0ODEjNTEjJDEjJDYjJDgz,구름약국,81,약국,340000,충남,340202,천안동남구,신방동,31177,"충청남도 천안시 동남구 서부대로 221, 1층 (신방동, 오케이빌딩)",041-577-3351,2016-12-01 00:00:00,127.1284341,36.788133
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzMxIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz,구세광해당약국,81,약국,340000,충남,340202,천안동남구,영성동,31132,"충청남도 천안시 동남구 중앙로 66-1, 1층 (영성동)",041-551-6338,2005-05-17 00:00:00,127.1527465,36.804291
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMzUxIzMxIyQxIyQzIyQwMyQzNjEyMjIjODEjJDEjJDYjJDgz,국민약국,81,약국,340000,충남,340202,천안동남구,신방동,31184,"충청남도 천안시 동남구 서부대로 226-11, (신방동, 향촌현대아파트)",041-576-1312,1989-08-21 00:00:00,127.1301423,36.7891664
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQ4MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,그린약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31174,"충청남도 천안시 서북구 충무로 133, (쌍용동)",041-576-7576,2008-05-01 00:00:00,127.1222263,36.793159
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjEyMjIjNTEjJDEjJDYjJDgz,금강약국,81,약국,340000,충남,340202,천안동남구,신방동,31176,"충청남도 천안시 동남구 신촌4로 34, 금강빌딩 1층 (신방동)",041-575-1777,2024-03-13 00:00:00,127.1251418,36.7891762
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ5OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,나나약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31155,"충청남도 천안시 서북구 미라15길 23, 상가동 205호 (쌍용동, 대우타워아파트)",041-573-0027,2009-06-09 00:00:00,127.132186,36.8069642
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,나눔약국,81,약국,340000,충남,340201,천안서북구,,31156,"충청남도 천안시 서북구 불당21로 67-26, 107호 (불당동)",041-523-7760,2017-02-07 00:00:00,127.1087327,36.8147888
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEwMDIjNDEjJDEjJDQjJDgz,나비약국,81,약국,340000,충남,340201,천안서북구,성정동,31109,"충청남도 천안시 서북구 동서대로 135, 1층 (성정동)",041-556-0406,2020-07-02 00:00:00,127.1383794,36.8261581
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,남관약국,81,약국,340000,충남,340202,천안동남구,풍세면,31213,"충청남도 천안시 동남구 풍세면 풍세로 465, 1층",041-571-1579,2020-08-19 00:00:00,127.1272676,36.7547339
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz,남산제일약국,81,약국,340000,충남,340202,천안동남구,사직동,31129,"충청남도 천안시 동남구 중앙시장길 2, (사직동, 건영빌딩)",041-523-2569,2012-07-02 00:00:00,127.1490377,36.8006634
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzMxIyQxIyQ3IyQ4MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,남산중앙약국,81,약국,340000,충남,340202,천안동남구,사직동,31129,"충청남도 천안시 동남구 대흥로 118, (사직동)",041-555-6275,2015-03-26 00:00:00,127.1498864,36.8002228
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,누리약국,81,약국,340000,충남,340201,천안서북구,백석동,31096,"충청남도 천안시 서북구 한들1로 34, 더존빌딩 1층 (백석동)",041-411-0031,2025-09-19 00:00:00,127.1161144,36.8254588
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzExIyQxIyQzIyQ4MiQyNjE4MzIjNjEjJDEjJDAjJDgz,눈사랑약국,81,약국,340000,충남,340202,천안동남구,원성동,31127,"충청남도 천안시 동남구 중앙로 92, 김안과 1층 (원성동)",041-558-3456,2012-04-02 00:00:00,127.1526464,36.806653
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzIxIyQyIyQ5IyQwMCQ0NjE0ODEjODEjJDEjJDYjJDgz,늘봄약국,81,약국,340000,충남,340202,천안동남구,청당동,31198,"충청남도 천안시 동남구 청수4로 16, 1층 101호 (청당동)",041-565-3351,2017-05-25 00:00:00,127.1528761,36.7832667
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzQxIyQxIyQ3IyQ2MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,늘사랑약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 순천향4길 50, (봉명동)",041-577-9100,2025-07-04 00:00:00,127.136388,36.8024036
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzIxIyQyIyQ5IyQwMCQyNjEwMDIjNjEjJDEjJDgjJDgz,다나약국,81,약국,340000,충남,340201,천안서북구,직산읍,31037,"충청남도 천안시 서북구 직산읍 삼은3길 13, 13",041-585-7582,2003-11-10 00:00:00,127.1509814,36.8783065
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzMxIyQxIyQ3IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,다사랑약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 봉명4길 15, 101동 상가동 37호 (봉명동, 봉명역센트럴시티아파트)",041-579-5900,2014-10-10 00:00:00,127.1361516,36.8053662
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQ3OSQzNjE4MzIjNjEjJDEjJDgjJDgz,다솜약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 순천향4길 60, 1동 103호 (봉명동)",041-417-1001,2025-05-02 00:00:00,127.1373576,36.8028947
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQxIyQwMyQyNjE0ODEjNDEjJDEjJDgjJDgz,대광약국,81,약국,340000,충남,340202,천안동남구,신부동,31120,"충청남도 천안시 동남구 만남로 43, 신세계백화점충청점,천안종합버스터미널 1층 (신부동)",041-522-1134,2018-07-02 00:00:00,127.156528,36.8207735
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ2MiQyNjEyMjIjODEjJDEjJDYjJDgz,대문약국,81,약국,340000,충남,340202,천안동남구,안서동,31116,"충청남도 천안시 동남구 망향로 185, 1층 (안서동)",041-552-8001,2019-04-23 00:00:00,127.1740153,36.8396858
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ2MiQyNjEwMDIjODEjJDEjJDYjJDgz,대성약국,81,약국,340000,충남,340202,천안동남구,신방동,31184,"충청남도 천안시 동남구 일봉로 8, (신방동, 학산빌딩)",041-574-1444,1961-06-27 00:00:00,127.1294022,36.7933496
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ5MiQyNjE0ODEjNjEjJDEjJDAjJDgz,대은약국,81,약국,340000,충남,340201,천안서북구,성정동,31109,"충청남도 천안시 서북구 동서대로 129, 101호 (성정동, 아이엠빌딩)",041-562-1134,2011-09-30 00:00:00,127.1378027,36.8262114
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjE4MzIjNDEjJDEjJDQjJDgz,대진약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 봉정로 47, 에이스빌딩 1층 (봉명동)",041-573-5744,2009-11-18 00:00:00,127.139641,36.8064762
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzUxIyQxIyQxIyQ4MiQyNjE4MzIjNDEjJDEjJDQjJDgz,대학약국,81,약국,340000,충남,340202,천안동남구,안서동,31065,"충청남도 천안시 동남구 망향로 200, (안서동)",041-557-8835,2007-11-12 00:00:00,127.1748818,36.8408474
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzExIyQxIyQ3IyQwMyQzNjEyMjIjNjEjJDEjJDQjJDgz,대학정문약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 순천향6길 38, 옛골호두과자 1층 (봉명동)",041-572-2022,2018-08-28 00:00:00,127.1353951,36.801634
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzIxIyQyIyQxIyQwMCQzNjE4MzIjNTEjJDEjJDYjJDgz,대학하나로약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 순천향4길 54, 2동 1층 (봉명동)",041-575-7900,2019-02-07 00:00:00,127.1369147,36.8027087
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ5MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,더맑은약국,81,약국,340000,충남,340201,천안서북구,,31156,"충청남도 천안시 서북구 불당21로 65, 108호 (불당동)",041-907-7347,2022-05-02 00:00:00,127.1073927,36.8130782
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,더편한약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 천안여상로 25, 1층 (봉명동)",041-577-6958,2025-05-23 00:00:00,127.1350048,36.8045568
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,도담약국,81,약국,340000,충남,340202,천안동남구,봉명동,31147,"충청남도 천안시 동남구 쌍용대로 154, 대서양횟집 1층 (봉명동)",041-579-0609,2017-06-01 00:00:00,127.1340238,36.8111032
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjE0ODEjODEjJDEjJDYjJDgz,동백약국,81,약국,340000,충남,340202,천안동남구,신부동,31124,"충청남도 천안시 동남구 만남로 90, 1층 (신부동)",041-415-0192,2021-04-09 00:00:00,127.1616329,36.8204935
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ4MiQyNjEwMDIjODEjJDEjJDIjJDgz,동서당약국,81,약국,340000,충남,340201,천안서북구,성정동,31110,"충청남도 천안시 서북구 성정두정로 12, (성정동)",041-567-8275,2004-02-06 00:00:00,127.1415119,36.8265708
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ5OSQyNjE0ODEjNTEjJDEjJDYjJDgz,동우약국,81,약국,340000,충남,340202,천안동남구,목천읍,31233,"충청남도 천안시 동남구 목천읍 신계1길 41, (동우@상가 104호)",041-555-1295,2010-11-17 00:00:00,127.1934751,36.7721993
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzExIyQxIyQzIyQ4MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,동행약국,81,약국,340000,충남,340202,천안동남구,신부동,31123,"충청남도 천안시 동남구 만남로 42, 1층 (신부동)",041-551-6626,2019-07-25 00:00:00,127.156893,36.8186205
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzExIyQxIyQzIyQ2MiQ0NjEwMDIjODEjJDEjJDYjJDgz,두리약국,81,약국,340000,충남,340202,천안동남구,청당동,31211,"충청남도 천안시 동남구 남부대로 346, 1층 (청당동)",041-553-2220,2009-02-02 00:00:00,127.1553655,36.7810585
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxOTYxIzIxIyQxIyQ1IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,두리이화약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31166,"충청남도 천안시 서북구 쌍용1길 21, 1층 101호 (쌍용동)",041-900-5522,2020-10-13 00:00:00,127.1192222,36.8013837
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ4MiQyNjE4MzIjNjEjJDEjJDAjJDgz,두정구름약국,81,약국,340000,충남,340201,천안서북구,두정동,31103,"충청남도 천안시 서북구 봉정로 356, 1층 (두정동)",,2024-02-23 00:00:00,127.1458041,36.8335447
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,두정아름약국,81,약국,340000,충남,340201,천안서북구,두정동,31112,"충청남도 천안시 서북구 천안대로 1024-5, 1층 (두정동)",041-417-6737,2025-09-05 00:00:00,127.152436,36.8334971
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ5MiQzNjEyMjIjNjEjJDEjJDgjJDgz,두정약국,81,약국,340000,충남,340201,천안서북구,두정동,31106,"충청남도 천안시 서북구 두정로 220, (두정동)",041-567-3344,2004-03-31 00:00:00,127.1414138,36.833259
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjNDEjJDEjJDQjJDgz,두정역스타약국,81,약국,340000,충남,340201,천안서북구,두정동,31104,"충청남도 천안시 서북구 두정로 258, 1층 105호 (두정동)",041-551-0365,2020-08-31 00:00:00,127.145739,36.8329799
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,두정역일번약국,81,약국,340000,충남,340201,천안서북구,두정동,31103,"충청남도 천안시 서북구 두정역서3길 21-12, 102호 (두정동)",041-556-6787,2025-10-21 00:00:00,127.1475777,36.8330958
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQxIyQxMyQyNjEwMDIjNjEjJDEjJDgjJDgz,두정제일약국,81,약국,340000,충남,340201,천안서북구,두정동,31106,"충청남도 천안시 서북구 두정로 202, 리즈앤마리안클리닉센터 (두정동)",041-551-8807,2018-05-28 00:00:00,127.1393316,36.8334113
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNjEjJDEjJDQjJDgz,드림약국,81,약국,340000,충남,340202,천안동남구,대흥동,31129,"충청남도 천안시 동남구 대흥로 228, (대흥동, 삼영빌딩)",041-523-5228,2002-11-01 00:00:00,127.1481019,36.8083735
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQxMyQyNjE4MzIjODEjJDEjJDYjJDgz,디노약국,81,약국,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당23로 73-8, 한성필하우스 라드니체 116호 (불당동)",041-900-0202,2026-01-22 00:00:00,127.1097404,36.8180572
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxOTYxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,딸기약국,81,약국,340000,충남,340201,천안서북구,성성동,31078,"충청남도 천안시 서북구 성성8로 14-12, 107호 (성성동)",041-566-1493,2019-02-25 00:00:00,127.1297531,36.8403803
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQ4MiQyNjEwMDIjNjEjJDEjJDQjJDgz,라라약국,81,약국,340000,충남,340201,천안서북구,두정동,31090,"충청남도 천안시 서북구 오성6길 4, 102호 (두정동)",041-568-3737,2018-10-22 00:00:00,127.1276148,36.8317807
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzMxIyQyIyQzIyQwMCQ0NjEwMDIjNTEjJDEjJDYjJDgz,라키아명일약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 봉명4길 8, 1층 (봉명동)",041-579-0008,2024-12-23 00:00:00,127.1380795,36.8042719
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQzNjEwMDIjNDEjJDEjJDgjJDgz,레몬약국,81,약국,340000,충남,340201,천안서북구,두정동,31100,"충청남도 천안시 서북구 부성7길 3, (두정동)",041-522-0323,2003-10-30 00:00:00,127.133926,36.8370941
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,로타리약국,81,약국,340000,충남,340202,천안동남구,영성동,31131,"충청남도 천안시 동남구 수선정길 14, (영성동, 로타리약국)",041-551-3886,1972-12-20 00:00:00,127.1504448,36.8034745
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzIxIyQyIyQ5IyQwMCQzNjEyMjIjODEjJDEjJDIjJDgz,루가약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31174,"충청남도 천안시 서북구 충무로 161, (쌍용동)",041-566-0002,2013-02-28 00:00:00,127.1250616,36.7940588
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNDEjJDEjJDgjJDgz,리튼약국,81,약국,340000,충남,340201,천안서북구,백석동,31097,"충청남도 천안시 서북구 백석로 93, 리튼빌딩 1층 (백석동)",041-523-8838,2018-05-09 00:00:00,127.1220444,36.8238851
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzUxIyQxIyQxIyQ2MiQzNjE0ODEjODEjJDEjJDYjJDgz,마더스약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31180,"충청남도 천안시 서북구 충무로 187, (쌍용동, E 마트)",041-578-7845,2016-02-23 00:00:00,127.1270861,36.795922
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxOTYxIzQxIyQxIyQ3IyQwMyQzNjE4MzIjNjEjJDEjJDQjJDgz,마음약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31180,"충청남도 천안시 서북구 충무로 211, (쌍용동)",041-555-9956,2016-09-13 00:00:00,127.1292986,36.7969228
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNDEjJDEjJDQjJDgz,맘편한약국,81,약국,340000,충남,340201,천안서북구,두정동,31090,"충청남도 천안시 서북구 오성로 1, (두정동)",041-335-3497,2017-08-24 00:00:00,127.1275923,36.8307057
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQwMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,메가센트럴약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 봉명로 58, (봉명동)",041-572-8399,2026-01-06 00:00:00,127.1349102,36.8069431
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE0ODEjNTEjJDEjJDYjJDgz,메디컬약국,81,약국,340000,충남,340202,천안동남구,신방동,31184,"충청남도 천안시 동남구 서부대로 278, 1층 (신방동, 학산TWIN빌딩)",041-578-0183,2017-07-17 00:00:00,127.1294288,36.7930538
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,메디팜백화점약국,81,약국,340000,충남,340202,천안동남구,신부동,31124,"충청남도 천안시 동남구 만남로 64, 1층 104호 (신부동)",041-552-4800,2021-10-12 00:00:00,127.1593265,36.8191481
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxOTYxIzExIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDAjJDgz,명가약국,81,약국,340000,충남,340201,천안서북구,입장면,31055,"충청남도 천안시 서북구 입장면 석재길 3, (입장면)",041-587-1500,2010-02-03 00:00:00,127.2217887,36.9110428
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzIxIyQxIyQxIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz,명보약국,81,약국,340000,충남,340202,천안동남구,영성동,31132,"충청남도 천안시 동남구 중앙로 50, (영성동, 명보약국)",041-522-8119,2002-08-16 00:00:00,127.1530507,36.8029076
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzIxIyQxIyQ5IyQ3OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,명진약국,81,약국,340000,충남,340202,천안동남구,안서동,31116,"충청남도 천안시 동남구 망향로 187, (안서동, 영남빌딩)",041-561-2747,2012-11-30 00:00:00,127.1740061,36.8399336
