연번,학교급,시군명,읍면동,설립별,학교명,신설휴원,학급수,학생수,우편번호,주소,연락처,팩스번호,비고
31,유치원,천안,성남면,공립,신사초등학교병설유치원,,1,4,31245,충남 천안시 동남구 성남면 신사대화로 155,041-553-7122,041-553-8890,
32,유치원,천안,수신면,공립,수신초등학교병설유치원,,1,3,31251,충남 천안시 동남구 수신면 수신로 459,041-522-0104,041-522-0105,1면1원
33,유치원,천안,병천면,공립,병천초등학교병설유치원,,1,3,31254,충남 천안시 동남구 병천면 병천2로 35,041-564-1021,041-561-9661,1면1원
34,유치원,천안,동면,공립,천동초등학교병설유치원,,1,1,31258,충남 천안시 동남구 동면 동산1길 59,041-553-4013,041-523-4006,1면1원
35,유치원,천안,성환읍,공립,성환초등학교병설유치원,,1,7,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555,041-581-0267,
36,유치원,천안,성환읍,공립,성신초등학교병설유치원,,1,3,31014,충남 천안시 서북구 성환읍 성환12길 7,041-581-1820,041-581-0130,
39,유치원,천안,성환읍,공립,신방초등학교병설유치원,,1,12,31000,충남 천안시 서북구 성환읍 신방로 73,041-582-1925,041-581-7753,
40,유치원,천안,성환읍,공립,도하초등학교병설유치원,,1,7,31005,충남 천안시 서북구 성환읍 연암로 382,041-581-1503,041-581-0684,
42,유치원,천안,직산읍,공립,삼은초등학교병설유치원,,2,10,31037,충남 천안시 서북구 직산읍 삼은2길 11,041-583-0046,041-583-8587,
44,유치원,천안,성거읍,공립,성거초등학교병설유치원,,1,10,31046,충남 천안시 서북구 성거읍 소댕이3길 606-21,041-555-4684,041-622-4749,
45,유치원,천안,입장면,공립,입장초등학교병설유치원,,1,3,31055,충남 천안시 서북구 입장면 하장4길 19,041-585-3995,041-585-3997,
46,유치원,천안,다가동,공립,천안일봉유치원,,8,86,31154,충남 천안시 동남구 다가2길 3,041-577-1923,041-577-1925,
47,유치원,천안,두정동,공립,천안도솔유치원,,11,80,31111,충남 천안시 서북구 두정역동3길 3,041-522-9791,041-522-9789,
48,유치원,천안,성정동,공립,천안성정유치원,,7,66,31141,충남 천안시 서북구 성정7길 3,041-571-1057,041-571-1059,
49,유치원,천안,불당동,공립,천안버들유치원,,13,208,31156,충남 천안시 서북구 불당23로 41,041-906-7771,041-906-7773,
50,유치원,천안,성성동,공립,천안성성유치원,,12,156,31079,충남 천안시 서북구 성성10길 10-4,041-564-1832,041-554-1832,
51,유치원,천안,성성동,공립,천안꽃마루유치원,,12,176,31078,충남 천안시 서북구 성성6로 37,041-418-5040,041-622-6683,
52,유치원,천안,불당동,공립,천안불당유치원,,14,208,31156,충남 천안시 서북구 불당27로 12,041-567-1571,041-567-1574,
53,유치원,천안,신방동,공립,천안신촌초등학교병설유치원,,1,11,31177,충남 천안시 동남구 신촌4로 9,041-577-6858,041-577-6855,
54,유치원,천안,성거읍,공립,소망초등학교병설유치원,,1,3,31048,충남 천안시 서북구 성거읍 역전말3길 102 ,041-587-0072,041-587-0071,
55,유치원,천안,신방동,공립,천안새샘초등학교병설유치원,,1,7,31207,충남 천안시 동남구 통정9로 58,041-413-2390,041-413-2309,
57,유치원,천안,차암동,공립,천안차암초등학교병설유치원,,3,49,31085,충남 천안시 서북구 스마일시티1로 50,041-413-3502,041-413-3504,
58,유치원,천안,불당동,공립,천안불무초등학교병설유치원,,5,71,31156,충남 천안시 서북구 불당23로 29,041-565-9975,041-565-9976,
59,유치원,천안,백석동,공립,천안한들초등학교병설유치원,,4,35,31096,충남 천안시 서북구 한들2로 33,041-551-5804,041-551-5806,
60,유치원,천안,백석동,공립,천안백석초등학교병설유치원,,2,33,31158,충남 천안시 서북구 백석3로 98,041-622-8486,041-622-8488,
61,유치원,천안,신부동,공립,천안희망초등학교병설유치원,,3,36,31115,충남 천안시 동남구 단대로 21-7,041-622-6427,041-622-6433,
62,유치원,천안,불당동,공립,천안호수초등학교병설유치원,,4,51,31167,충남 천안시 서북구 공원로 140,041-533-5362,041-533-5373,
63,유치원,천안,성성동,공립,천안가람초등학교병설유치원,,4,53,31078,충남 천안시 서북구 성성6로 47-11,041-415-2473,041-415-2490,
64,유치원,천안,청당동,공립,천안능수초등학교병설유치원,,4,43,31212,충남 천안시 동남구 청당용평로 112,041-414-2585,041-414-2589,
65,유치원,천안,오룡동,사립,복자유치원,,4,68,31131,충남 천안시 동남구 옛시청길 32,041-567-9666,041-568-9666,
66,유치원,천안,성정동,사립,색동유치원,,2,25,31141,충남 천안시 서북구 성정6길 8-7,041-575-4131,041-576-4131,
67,유치원,천안,성정동,사립,대한유치원,,9,189,31133,충남 천안시 서북구 동서대로110-24,041-575-3990,041-575-3992,
68,유치원,천안,성정동,사립,중앙유치원,,4,65,31137,충남 천안시 서북구 서부14길 55,041-575-9998,041-575-9997,
69,유치원,천안,성정동,사립,미래클유치원,,6,94,31133,충남 천안시 서북구 쌍용대로 301 ,041-577-6622,041-577-6623,
71,유치원,천안,쌍용동,사립,예랑유치원,,3,32,31166,충남 천안시 서북구 쌍용11길 33,041-571-2556,041-571-2557,
72,유치원,천안,쌍용동,사립,젤라유치원,,6,92,31155,충남 천안시 서북구 미라3길 5,041-571-0033,041-571-0034,
73,유치원,천안,안서동,사립,호서대학교부속유치원,,6,98,31066,충남 천안시 동남구 각원사길 69,041-560-8470,041-561-0366,
74,유치원,천안,신부동,사립,천안원광유치원,,2,22,31120,충남 천안시 동남구 천안천9길 58,041-551-4974,041-563-7034,
75,유치원,천안,성정동,사립,새미기픈믈유치원,,4,56,31137,충남 천안시 서북구 서부13길 39,041-572-0642,041-576-9016,
76,유치원,천안,두정동,사립,늘푸른유치원,,8,198,31099,충남 천안시 서북구 늘푸른6길 41,041-554-9413,041-556-9413,
77,유치원,천안,두정동,사립,한사랑유치원,,3,38,31102,충남 천안시 서북구 두정중5길 22,041-555-5274,041-555-5275,
78,유치원,천안,신방동,사립,더그림유치원(구 한라유치원),,7,118,31185,충남 천안시 동남구 서부대로 226-12,041-578-2500,041-578-2502,
79,유치원,천안,쌍용동,사립,늘사랑유치원,,9,165,31161,충남 천안시 서북구 봉서산샛길 67,041-578-3111,041-578-3112,
80,유치원,천안,백석동,사립,미래유치원,,11,212,31095,충남 천안시 서북구 백석로 17-17,041-551-3233,041-551-3234,
82,유치원,천안,쌍용동,사립,푸른별유치원,,6,88,31172,충남 천안시 서북구 쌍용14길 66,041-578-1777,041-578-1778,
83,유치원,천안,쌍용동,사립,좋은유치원,,3,28,31172,충남 천안시 서북구 쌍용18길 18,041-578-4422,041-577-1700,
84,유치원,천안,쌍용동,사립,엔젤유치원,,5,70,31171,충남 천안시 서북구 월봉7길 77,041-579-6755,041-579-6754,
85,유치원,천안,신부동,사립,아이캔유치원,,6,98,31117,충남 천안시 동남구 중앙로 281-5,041-558-7942,041-558-7943,
86,유치원,천안,두정동,사립,우리유치원,,14,287,31099,충남 천안시 서북구 부성1길 51-10,041-522-5201,041-522-5210,
87,유치원,천안,쌍용동,사립,유한유치원,,5,78,31179,충남 천안시 서북구 월봉9길 7,041-577-3511,041-576-3511,
88,유치원,천안,봉명동,사립,세중아유치원,,15,274,31150,충남 천안시 동남구 양지2길 22,041-573-6477,041-573-6474,
89,유치원,천안,두정동,사립,행복한리더로유치원,,15,300,31090,충남 천안시 서북구 오성6길 27,041-523-7600,041-523-0019,
90,유치원,천안,구룡동,사립,백향목유치원,,12,254,31206,충남 천안시 동남구 배울1길 16,041-573-5829,041-573-5749,
91,유치원,천안,쌍용동,사립,세화유치원,,7,145,31175,충남 천안시 서북구 충무로 158-23,041-573-6400,041-573-6440,
92,유치원,천안,쌍용동,사립,아이숲유치원,,7,150,31181,충남 천안시 서북구 다가말 2길 26,041-577-7179,041-578-7179,
93,유치원,천안,성환읍,사립,사랑유치원,,3,46,31008,충남 천안시 서북구 성환읍 신방로 336-11,041-581-4757,041-582-4848,
94,유치원,천안,성거읍,사립,동심유치원,,4,90,31046,충남 천안시 서북구 성거읍 소댕이3길 13,041-622-3645,041-622-3646,
95,유치원,천안,성거읍,사립,동화유치원,,4,62,31050,충남 천안시 서북구 성거읍 신월길 42,041-583-5034,041-584-7815,
96,유치원,천안,직산읍,사립,새천안유치원,,3,46,31038,충남 천안시 서북구 직산읍 자은가리1길 68-1,041-585-3600,041-585-3601,
97,유치원,천안,목천읍,사립,은파유치원,,1,4,31246,충남 천안시 동남구 목천읍 운전3길 20,041-557-9596,041-557-0014,
98,유치원,천안,목천읍,사립,하얀유치원,,3,47,31226,충남 천안시 동남구 목천읍 삼성5길 54,041-621-5544,070-4394-8695,
100,유치원,천안,목천읍,사립,가원유치원,,6,97,31233,충남 천안시 동남구 목천읍 목천안터1길 55,041-562-1004,041-562-2006,
101,유치원,천안,직산읍,사립,도담유치원,,6,106,31030,충남 천안시 서북구 직산읍 양당율금길 4-24,041-585-7179,041-583-7179,
102,유치원,천안,입장면,사립,화랑유치원,,2,9,31055,충남 천안시 서북구 입장면 하장1길10-6,041-583-9286,041-583-9286,
103,유치원,천안,청당동,사립,백석대학교부속유치원,,7,118,31197,충남 천안시 동남구 청수7로 30-15,041-558-1580,041-558-1585,
105,유치원,천안,신방동,사립,명문유치원,,6,71,31208,충남 천안시 동남구 통정8로 5-23,041-578-8010,041-576-5588,
106,유치원,천안,용곡동,사립,셀라유치원,,10,199,31184,충남 천안시 동남구 용곡2길 43-22,041-574-1000,041-574-3210,
107,유치원,천안,백석동,사립,아이솔유치원,,12,252,31095,충남 천안시 서북구 번영로 306-8,041-523-7770,041-523-9770,
108,유치원,천안,청당동,사립,좋은나무숲유치원,,8,175,31197,충남 천안시 동남구 청수7로 6,041-565-3355,041-565-3080,
109,유치원,천안,백석동,사립,백석유치원,,13,247,31097,충남 천안시 서북구 한들2로 34-42,041-621-8010,041-563-0210,
110,유치원,천안,백석동,사립,해여림유치원,,19,364,31091,충남 천안시 서북구 한들4로 75,041-554-3217,041-554-3218,
111,유치원,천안,불당동,사립,이튼유치원,,19,362,31156,충남 천안시 서북구 불당18로 33,041-567-7111,041-590-0799,
487,초등학교,천안,성황동,공립,천안초등학교,,20,373,31122,충남 천안시 동남구 중앙로 169,041-568-0747,041-568-0763,
489,초등학교,천안,원성동,공립,천안남산초등학교,,18,365,31132,충남 천안시 동남구 버들1길 30,041-565-3833,041-551-8102,
490,초등학교,천안,성정동,공립,천안성정초등학교,,16,240,31141,충남 천안시 서북구 성정7길 3,041-577-4102,041-577-4108,
491,초등학교,천안,다가동,공립,천안일봉초등학교,,19,354,31154,충남 천안시 동남구 다가2길 3,041-579-8450,041-579-8458,
492,초등학교,천안,백석동,공립,환서초등학교,,77,1945,31097,충남 천안시 서북구 한들2로 34-41,041-552-9858,041-553-4384,
493,초등학교,천안,부대동,공립,천안부대초등학교,,15,246,31080,충남 천안시 서북구 공대길 37,041-568-8296,041-555-6059,
494,초등학교,천안,업성동,공립,천안업성초등학교,,6,43,31076,충남 천안시 서북구 업성5길 20,041-583-3736,041-583-0600,
495,초등학교,천안,청수동,공립,천안청수초등학교,,16,287,31190,충남 천안시 동남구 청수로 35-3,041-551-8951,041-551-8954,
496,초등학교,천안,청당동,공립,천안청당초등학교,,49,1248,31211,충남 천안시 동남구 청당2길 94,041-523-2591,041-523-2589,
497,초등학교,천안,원성동,공립,천안신안초등학교,,30,593,31125,충남 천안시 동남구 원성25길 21,041-622-7601,041-622-7604,
498,초등학교,천안,안서동,공립,안서초등학교,,11,210,31066,충남 천안시 동남구 중암3길 10,041-551-4532,041-551-4533,
499,초등학교,천안,봉명동,공립,천안봉명초등학교,,16,273,31151,충남 천안시 동남구 봉명2길 11,041-576-3232,041-576-3235,
500,초등학교,천안,구성동,공립,천안구성초등학교,,17,336,31194,충남 천안시 동남구 청수로 126,041-565-5193,041-567-0828,
501,초등학교,천안,성정동,공립,천안서초등학교,,25,416,31134,충남 천안시 서북구 서부16길 27,041-620-3802,041-575-2505,
502,초등학교,천안,봉명동,공립,천안봉서초등학교,,24,477,31148,충남 천안시 동남구 봉서10길 12,041-577-8520,041-574-8584,
503,초등학교,천안,쌍용동,공립,천안미라초등학교,,14,256,31155,충남 천안시 서북구 미라2길 13,041-571-4273,041-571-4272,
504,초등학교,천안,쌍용동,공립,천안쌍용초등학교,,22,454,31166,충남 천안시 서북구 쌍용6길 9,041-571-8614,041-571-8613,
505,초등학교,천안,신부동,공립,천안신부초등학교,,28,528,31119,충남 천안시 동남구 터미널5길 30,041-563-8246,041-562-8248,
506,초등학교,천안,신방동,공립,천안신용초등학교,,26,559,31184,충남 천안시 동남구 새말1길 29,041-573-6106,041-573-6109,
507,초등학교,천안,쌍용동,공립,천안용암초등학교,,22,479,31166,충남 천안시 서북구 월봉로 147,041-577-0382,041-577-0387,
508,초등학교,천안,쌍용동,공립,천안월봉초등학교,,30,583,31171,충남 천안시 서북구 월봉4로 120-8,041-577-1816,041-577-1818,
509,초등학교,천안,두정동,공립,천안부성초등학교,,26,585,31100,충남 천안시 서북구 부성1길 16,041-561-0491,041-555-1529,
510,초등학교,천안,신방동,공립,천안신촌초등학교,,11,155,31177,충남 천안시 동남구 신촌4로 9,041-577-6852,041-577-6855,
511,초등학교,천안,용곡동,공립,천안용곡초등학교,,29,650,31185,충남 천안시 동남구 새말1길 73,041-569-6182,041-569-6187,
512,초등학교,천안,용곡동,공립,천안용소초등학교,,25,589,31184,충남 천안시 동남구 일봉로 82-18,041-579-8142,041-579-8139,
513,초등학교,천안,백석동,공립,천안백석초등학교,,30,668,31158,충남 천안시 서북구 백석3로 98,041-622-8485,041-622-8488,
514,초등학교,천안,두정동,공립,천안오성초등학교,,45,942,31090,충남 천안시 서북구 오성5길 23,041-522-6091,041-522-6110,
515,초등학교,천안,두정동,공립,천안두정초등학교,,39,816,31103,충남 천안시 서북구 두정역서1길 10,041-622-9577,041-622-9582,
516,초등학교,천안,쌍용동,공립,천안수곡초등학교,,25,576,31175,충남 천안시 서북구 수곡로 19-32 ,041-576-6028,041-577-2788,
517,초등학교,천안,불당동,공립,천안불당초등학교,,46,1099,31164,충남 천안시 서북구 불당4로 39-21,041-622-2091,041-622-2097,
518,초등학교,천안,불당동,공립,천안서당초등학교,,34,764,31165,충남 천안시 서북구 불당11로 63,041-558-6012,041-558-6020,
519,초등학교,천안,두정동,공립,천안신대초등학교,,24,496,31102,충남 천안시 서북구 성정두정로 130,041-558-0641,041-558-0644,
520,초등학교,천안,와촌동,공립,천안와촌초등학교,,12,198,31152,충남 천안시 서북구 와촌4길 16,041-579-9081,041-579-9087,
521,초등학교,천안,용곡동,공립,천안청룡초등학교,,25,587,31202,충남 천안시 동남구 풍세로 801-28,041-579-9530,041-579-9532,
522,초등학교,천안,구성동,공립,천안삼거리초등학교,,22,448,31195,충남 천안시 동남구 충절로 340 ,041-569-1392,041-569-1396,
523,초등학교,천안,쌍용동,공립,천안쌍정초등학교,,21,446,31179,충남 천안시 서북구 충무로 5-44,041-578-9384,041-578-9388,
524,초등학교,천안,신방동,공립,천안새샘초등학교,,43,1048,31207,충남 천안시 동남구 통정9로 58,041-413-2300,041-413-2310,
525,초등학교,천안,청수동,공립,천안가온초등학교,,37,855,31200,충남 천안시 동남구 청수14로 21,041-522-7317,041-522-1735,
526,초등학교,천안,차암동,공립,천안차암초등학교,,59,1309,31085,충남 천안시 서북구 스마일시티1로 50,041-413-3502,041-413-3504,
527,초등학교,천안,불당동,공립,천안불무초등학교,,75,1979,31156,충남 천안시 서북구 불당23로 29,041-567-0800,041-565-9976,
528,초등학교,천안,불당동,공립,천안아름초등학교,,76,2081,31156,충남 천안시 서북구 불당27길 1,041-418-9650,041-418-9655,
529,초등학교,천안,백석동,공립,천안한들초등학교,,32,616,31096,충남 천안시 서북구 한들2로 33,041-551-5803,041-551-5806,
530,초등학교,천안,성성동,공립,천안성성초등학교,,59,1485,31078,충남 천안시 서북구 성성10길 77,041-569-0371,041-569-0373,
531,초등학교,천안,신부동,공립,천안희망초등학교,,47,945,31115,충남 천안시 동남구 단대로 21-7,041-622-4100,041-622-6424,
532,초등학교,천안,불당동,공립,천안호수초등학교,,27,565,31168,충남 천안시 서북구 공원로 140,041-533-5362,041-533-5366,
533,초등학교,천안,성성동,공립,천안가람초등학교,,57,1346,31078,충남 천안시 서북구 성성6로 47-11,041-415-2470,041-415-2490,
534,초등학교,천안,청당동,공립,천안능수초등학교,,22,470,31212,충남 천안시 동남구 청당용평로 112,041-414-2582,041-414-2590,
535,초등학교,천안,풍세면,공립,풍세초등학교,,16,296,31217,충남 천안시 동남구 풍세면 풍세2길 5,041-566-7006,041-566-7444,
536,초등학교,천안,풍세면,공립,용정초등학교,,6,88,31214,충남 천안시 동남구 풍세면 용정길 8-7,041-566-7184,041-566-0374,
537,초등학교,천안,풍세면,공립,미죽초등학교,,6,94,31215,충남 천안시 동남구 풍세면 미죽2길 7,041-566-6238,041-566-0118,
538,초등학교,천안,광덕면,공립,광덕초등학교,,7,50,31221,충남 천안시 동남구 광덕면 신흥리3길 36,041-567-0347,041-568-2613,
539,초등학교,천안,광덕면,공립,행정초등학교,,6,12,31223,충남 천안시 동남구 광덕면 광덕로 534,041-566-6503,041-566-0093,
540,초등학교,천안,광덕면,공립,보산원초등학교,,6,36,31218,충남 천안시 동남구 광덕면 보산원2길 33,041-567-0344,041-568-2976,
541,초등학교,천안,목천읍,공립,목천초등학교,,8,96,31231,충남 천안시 동남구 목천읍 서리2길 31,041-557-3342,041-556-8896,
542,초등학교,천안,목천읍,공립,신계초등학교,,12,172,31233,충남 천안시 동남구 목천읍 천정1길 243-9,041-557-1291,041-557-8892,
543,초등학교,천안,목천읍,공립,도장초등학교,,6,46,31225,충남 천안시 동남구 목천읍 도장1길 73 ,041-566-6433,041-566-0094,
544,초등학교,천안,목천읍,공립,천안부영초등학교,,12,237,31226,충남 천안시 동남구 목천읍 삼성5길 22-14,041-565-1371,041-565-1374,
545,초등학교,천안,목천읍,공립,신흥초등학교,,15,326,31233,충남 천안시 동남구 목천읍 신계5길 27 ,041-557-0382,041-557-0385,
546,초등학교,천안,북면,공립,위례초등학교,,5,36,31238,충남 천안시 동남구 북면 오곡2길 6-13,041-554-7365,041-554-3534,벽지
547,초등학교,천안,북면,공립,은석초등학교,,6,36,31242,충남 천안시 동남구 북면 용암3길 10,041-553-3081,041-553-3439,
548,초등학교,천안,성남면,공립,성남초등학교,,6,42,31248,충남 천안시 동남구 성남면 대흥신덕길 95,041-553-0032,041-553-8894,
549,초등학교,천안,성남면,공립,신사초등학교,,6,27,31245,충남 천안시 동남구 성남면 신사대화로 155,041-553-0014,041-553-8890,
550,초등학교,천안,수신면,공립,수신초등학교,,6,28,31251,충남 천안시 동남구 수신면 수신로 459,041-522-0101,041-522-0105,
551,초등학교,천안,병천면,공립,병천초등학교,,7,113,31254,충남 천안시 동남구 병천면 병천2로 35,041-564-1021,041-561-9661,
552,초등학교,천안,동면,공립,천동초등학교,,7,15,31258,충남 천안시 동남구 동면 동산1길 59,041-523-4012,041-523-4006,
553,초등학교,천안,성환읍,공립,성환초등학교,,22,447,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555,041-581-0267,
554,초등학교,천안,성환읍,공립,성신초등학교,,8,104,31014,충남 천안시 서북구 성환읍 성환12길 7,041-581-2815,041-581-0130,
555,초등학교,천안,성환읍,공립,대홍초등학교,,6,29,31005,충남 천안시 서북구 성환읍 잠실길 4,041-581-2700,041-581-5088,
556,초등학교,천안,성환읍,공립,신가초등학교,,6,42,31001,충남 천안시 서북구 성환읍 성환신흥2길 2,041-581-3860,041-581-0131,
557,초등학교,천안,성환읍,공립,신방초등학교,,6,53,31000,충남 천안시 서북구 성환읍 신방로 73,041-581-2314,041-581-7753,
558,초등학교,천안,성환읍,공립,도하초등학교,,6,44,31005,충남 천안시 서북구 성환읍 연암로 382,041-581-5140,041-581-0684,
559,초등학교,천안,직산읍,공립,직산초등학교,,8,104,31032,충남 천안시 서북구 직산읍 직산안길 79,041-581-3706,041-581-0683,
560,초등학교,천안,직산읍,공립,삼은초등학교,,24,459,31037,충남 천안시 서북구 직산읍 삼은2길 11,041-583-3915,041-583-8587,
561,초등학교,천안,직산읍,공립,양당초등학교,,8,114,31029,충남 천안시 서북구 직산읍 양당1길 9-12,041-584-0015,041-584-0016,
562,초등학교,천안,성거읍,공립,성거초등학교,,26,510,31046,충남 천안시 서북구 성거읍 소댕이3길 606-21,041-622-7849,041-622-4749,
563,초등학교,천안,성거읍,공립,소망초등학교,,23,445,31048,충남 천안시 서북구 성거읍 역전말3길 102 ,041-587-0064,041-587-0071,
564,초등학교,천안,입장면,공립,입장초등학교,,12,144,31055,충남 천안시 서북구 입장면 하장4길 19,041-585-3992,041-585-3997,
565,초등학교,천안,입장면,공립,양대초등학교,,6,41,31055,충남 천안시 서북구 입장면 성진로 858,041-584-5077,041-583-9175,
909,중학교,천안,원성동,공립,천안중학교,,23,632,31127,충남 천안시 동남구 충절로 90,041-567-0900,041-563-0243,
910,중학교,천안,성황동,공립,천안북중학교,,23,607,31123,충남 천안시 동남구 중앙로 188,041-561-4657,041-561-4659,
911,중학교,천안,원성동,공립,천안여자중학교,,25,633,31186,충남 천안시 동남구 원거리11길 31,041-551-2945,041-568-0774,
912,중학교,천안,삼룡동,공립,천안동중학교,,21,638,31070,충남 천안시 동남구 충절로 363-11,041-413-3910,041-522-3209,
913,중학교,천안,성정동,공립,천안성정중학교,,32,941,31108,충남 천안시 서북구 성정중2길 40,041-552-0757,041-555-2224,
914,중학교,천안,쌍용동,공립,천안봉서중학교,,21,459,31155,충남 천안시 서북구 미라1길 48,041-571-8352,041-571-3850,
915,중학교,천안,부대동,공립,천안부성중학교,,22,556,31080,충남 천안시 서북구 공대길 45-9,041-523-7092,041-523-7098,
916,중학교,천안,쌍용동,공립,천안쌍용중학교,,38,1135,31166,충남 천안시 서북구 쌍용12길 13,041-576-7362,041-576-7365,
917,중학교,천안,두정동,공립,천안두정중학교,,31,920,31101,충남 천안시 서북구 두정중1길 26,041-561-6802,041-561-6810,
918,중학교,천안,두정동,공립,천안오성중학교,,29,844,31089,충남 천안시 서북구 두정고1길 25,041-522-7205,041-522-7211,
919,중학교,천안,두정동,공립,천안성성중학교,,29,883,31100,충남 천안시 서북구 부성1길 83,041-622-3704,041-622-3711,
920,중학교,천안,백석동,공립,천안백석중학교,,31,905,31158,충남 천안시 서북구 백석1길 56,041-522-9616,041-522-9619,
921,중학교,천안,백석동,공립,환서중학교,,27,832,31098,충남 천안시 서북구 한들3로 50,041-412-7020,041-412-7098,
922,중학교,천안,신방동,공립,천안신방중학교,,38,1038,31176,충남 천안시 동남구 신촌4로 46,041-592-1012,041-592-1021,
923,중학교,천안,불당동,공립,천안불당중학교,,36,1136,31164,충남 천안시 서북구 불당11로 35,041-558-9521,041-558-9516,
924,중학교,천안,불당동,공립,천안월봉중학교,,35,1072,31169,충남 천안시 서북구 광장로 245,041-523-9851,041-523-9856,
925,중학교,천안,용곡동,공립,천안용곡중학교,,38,1106,31184,충남 천안시 동남구 새말1길 51-14,041-592-0174,041-592-0171,
926,중학교,천안,신방동,공립,천안새샘중학교,,31,924,31205,충남 천안시 동남구 통정6로 49,041-592-3092,041-592-3097,
927,중학교,천안,청당동,공립,천안가온중학교,,33,929,31198,충남 천안시 동남구 청수6로 83,041-523-4965,041-523-4960,
928,중학교,천안,불당동,공립,천안불무중학교,,33,978,31156,충남 천안시 서북구 불당23로 30,041-418-9670,041-418-9675,
929,중학교,천안,성환읍,공립,성환중학교,,14,260,31017,충남 천안시 서북구 성환읍 성환2로 79,041-581-0383,041-581-0382,
930,중학교,천안,병천면,공립,병천중학교,,7,105,31256,충남 천안시 동남구 병천면 충절로 1872,041-561-9676,041-564-1916,
931,중학교,천안,입장면,공립,입장중학교,,7,129,31027,충남 천안시 서북구 입장면 연곡길 36,041-585-5021,041-585-5020,
932,중학교,천안,목천읍,공립,목천중학교,,10,194,31231,충남 천안시 동남구 목천읍 삼방로 145,041-559-1603,041-559-1670,
