GRID_CD,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_adm_cd,center_adm_nm,center_lon,center_lat,pop_2024_grid,pop_2026_est_int,households_2026_est_int,population_source_grid_count,facility_commerce__commercial_area__total,facility_commerce__commercial_area__market,facility_commerce__commercial_area__shoppingmall,facility_commerce__convstore__total,facility_commerce__convstore__편의점,facility_education__school_older__total,facility_education__school_older__고등학교,facility_education__school_older__중학교,facility_education__school_younger__total,facility_education__school_younger__유치원,facility_education__school_younger__초등학교,facility_education__school_younger__특수학교,facility_leisure__cultural_area__total,facility_leisure__cultural_area__cultural_facility,facility_leisure__cultural_area__library,facility_leisure__cultural_area__live_hall,facility_leisure__cultural_area__museum,facility_leisure__cultural_area__sportandresort,facility_leisure__cultural_area__theater,facility_leisure__park__total,facility_leisure__park__근린공원,facility_leisure__park__문화공원,facility_leisure__park__소공원,facility_leisure__park__수변공원,facility_leisure__park__어린이공원,facility_leisure__park__역사공원,facility_leisure__park__체육공원,facility_life__agency__total,facility_life__agency__시청구청,facility_life__agency__행정복지센터,facility_life__welfare_facilities_for_elderly__total,facility_life__welfare_facilities_for_elderly__노인복지시설,facility_medical__hospital__total,facility_medical__hospital__병원,facility_medical__hospital__보건소,facility_medical__hospital__보건지소,facility_medical__hospital__보건진료소,facility_medical__hospital__상급종합,facility_medical__hospital__요양병원,facility_medical__hospital__의원,facility_medical__hospital__정신병원,facility_medical__hospital__종합병원,facility_medical__hospital__치과병원,facility_medical__hospital__치과의원,facility_medical__hospital__한방병원,facility_medical__hospital__한의원,facility_medical__pharmacy__total,facility_medical__pharmacy__약국
G500_00011,213500.0,449000.0,214000.0,449500.0,213750.0,449250.0,500,center_in_cheonan,34011320,광덕면,127.15375542624238,36.64159295647357,0.0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00012,205000.0,449500.0,205500.0,450000.0,205250.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.05871011846327,36.6461833930461,0.0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00013,205500.0,449500.0,206000.0,450000.0,205750.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.0643015552653,36.646180506123955,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00014,206000.0,449500.0,206500.0,450000.0,206250.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.06989299123506,36.64617735675483,0.0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00015,206500.0,449500.0,207000.0,450000.0,206750.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.07548442630022,36.646173944938866,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00016,207000.0,449500.0,207500.0,450000.0,207250.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.08107586038834,36.64617027067619,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00017,207500.0,449500.0,208000.0,450000.0,207750.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.08666729342713,36.64616633396694,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00018,211500.0,449500.0,212000.0,450000.0,211750.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.1313987112757,36.64612539223837,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00019,212000.0,449500.0,212500.0,450000.0,212250.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.13699013161353,36.64611909351859,0.0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00020,212500.0,449500.0,213000.0,450000.0,212750.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.14258155017828,36.646112532354344,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00021,213000.0,449500.0,213500.0,450000.0,213250.0,449750.0,500,center_in_cheonan,34011320,광덕면,127.14817296689763,36.646105708745885,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00022,201500.0,450000.0,202000.0,450500.0,201750.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.01957118367088,36.65070193171351,0.0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00023,205000.0,450000.0,205500.0,450500.0,205250.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.05871353859817,36.650689069683494,5.0,4,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00024,205500.0,450000.0,206000.0,450500.0,205750.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.06430530112664,36.65068618229019,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00025,206000.0,450000.0,206500.0,450500.0,206250.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.06989706282266,36.650683032407066,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00026,206500.0,450000.0,207000.0,450500.0,206750.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.07548882361382,36.65067962003425,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00027,207000.0,450000.0,207500.0,450500.0,207250.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.08108058342778,36.6506759451719,5.0,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00028,207500.0,450000.0,208000.0,450500.0,207750.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.08667234219212,36.65067200782015,28.0,22,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00029,208000.0,450000.0,208500.0,450500.0,208250.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.09226409983447,36.65066780797918,0.0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00030,211500.0,450000.0,212000.0,450500.0,211750.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.13140636583456,36.65063105940955,5.0,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00031,212000.0,450000.0,212500.0,450500.0,212250.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.13699811189504,36.65062475966177,5.0,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00032,212500.0,450000.0,213000.0,450500.0,212750.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.14258985618206,36.65061819742668,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00033,213000.0,450000.0,213500.0,450500.0,213250.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.14818159862322,36.650611372704546,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00034,213500.0,450000.0,214000.0,450500.0,213750.0,450250.0,500,center_in_cheonan,34011320,광덕면,127.15377333914614,36.65060428549566,0.0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00035,201000.0,450500.0,201500.0,451000.0,201250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.01398023158825,36.65520839463371,0.0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00036,201500.0,450500.0,202000.0,451000.0,201750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.01957232397012,36.655207607033695,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00037,202500.0,450500.0,203000.0,451000.0,202750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.03075650790124,36.65520524423383,0.0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00038,203500.0,450500.0,204000.0,451000.0,203750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.0419406902395,36.65520183130119,5.0,4,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00039,204000.0,450500.0,204500.0,451000.0,204250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.04753278063028,36.65519973103527,5.0,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00040,204500.0,450500.0,205000.0,451000.0,204750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.05312487040563,36.65519736823636,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00041,205000.0,450500.0,205500.0,451000.0,205250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.05871695949314,36.655194742904584,21.0,16,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00042,205500.0,450500.0,206000.0,451000.0,205750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.06430904782043,36.655191855040044,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00043,206000.0,450500.0,206500.0,451000.0,206250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.06990113531506,36.65518870464285,72.0,53,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00044,206500.0,450500.0,207000.0,451000.0,206750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.07549322190465,36.65518529171314,102.0,76,44,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00045,207000.0,450500.0,207500.0,451000.0,207250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.08108530751682,36.65518161625104,8.0,6,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00046,207500.0,450500.0,208000.0,451000.0,207750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.08667739207911,36.65517767825673,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00047,208000.0,450500.0,208500.0,451000.0,208250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.09226947551916,36.65517347773033,0.0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00048,208500.0,450500.0,209000.0,451000.0,208750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.09786155776453,36.65516901467203,0.0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00049,211000.0,450500.0,211500.0,451000.0,211250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.12582194853753,36.655142761408804,0.0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00050,211500.0,450500.0,212000.0,451000.0,211750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.13141402209452,36.65513672316331,34.0,25,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00051,212000.0,450500.0,212500.0,451000.0,212250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.13700609395002,36.6551304223874,55.0,41,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00052,212500.0,450500.0,213000.0,451000.0,212750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.14259816403168,36.65512385908136,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00053,213000.0,450500.0,213500.0,451000.0,213250.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.14819023226703,36.65511703324543,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00054,213500.0,450500.0,214000.0,451000.0,213750.0,450750.0,500,center_in_cheonan,34011320,광덕면,127.15378229858372,36.655109944879904,0.0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00055,201000.0,451000.0,201500.0,451500.0,201250.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.01398104626878,36.659714066666155,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00056,201500.0,451000.0,202000.0,451500.0,201750.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.01957346452281,36.65971327893761,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00057,202000.0,451000.0,202500.0,451500.0,202250.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.0251658825234,36.65971222863293,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00058,202500.0,451000.0,203000.0,451500.0,202750.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.03075830019806,36.65971091575215,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00059,203000.0,451000.0,203500.0,451500.0,203250.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.03635071747442,36.65970934029534,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00060,203500.0,451000.0,204000.0,451500.0,203750.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.04194313428005,36.65970750226255,10.0,8,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00061,204000.0,451000.0,204500.0,451500.0,204250.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.04753555054252,36.65970540165387,31.0,24,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00062,204500.0,451000.0,205000.0,451500.0,204750.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.05312796618945,36.65970303846938,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00063,205000.0,451000.0,205500.0,451500.0,205250.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.05872038114835,36.659700412709164,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00064,205500.0,451000.0,206000.0,451500.0,205750.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.06431279534686,36.65969752437334,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00065,206000.0,451000.0,206500.0,451500.0,206250.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.06990520871251,36.65969437346203,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00066,206500.0,451000.0,207000.0,451500.0,206750.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.07549762117296,36.65969095997535,112.0,84,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00067,207000.0,451000.0,207500.0,451500.0,207250.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.0810900326557,36.659687283913456,8.0,6,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00068,207500.0,451000.0,208000.0,451500.0,207750.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.08668244308836,36.659683345276484,5.0,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00069,208000.0,451000.0,208500.0,451500.0,208250.0,451250.0,500,center_in_cheonan,34011320,광덕면,127.09227485239849,36.65967914406459,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
